type,name,function,time(ns)
small,CLANG,null,1.227
small,CLANG,std::sprintf_s,216.193
small,CLANG,std::to_chars,19.873
small,CLANG,std::to_string,325.275
small,CLANG,std::ostringstream,584.326
small,STB,stbsp_snprintf,62.158
small,GOOGLE,double_conversion::ToFixed,34.326
small,MILO,dtoa_milo,31.519
small,RYU,d2fixed_buffered,20.502
small,FPCONV,fpconv_dtoa,43.445
small,Q-TEE,CRT::RealToString,12.317
medium,CLANG,null,1.831
medium,CLANG,std::sprintf_s,229.047
medium,CLANG,std::to_chars,21.460
medium,CLANG,std::to_string,433.942
medium,CLANG,std::ostringstream,675.171
medium,STB,stbsp_snprintf,54.785
medium,GOOGLE,double_conversion::ToFixed,52.155
medium,MILO,dtoa_milo,30.566
medium,RYU,d2fixed_buffered,33.160
medium,FPCONV,fpconv_dtoa,49.469
medium,Q-TEE,CRT::RealToString,10.687
large,CLANG,null,2.045
large,CLANG,std::sprintf_s,2837.604
large,CLANG,std::to_chars,19.617
large,CLANG,std::to_string,5682.306
large,CLANG,std::ostringstream,3954.755
large,STB,stbsp_snprintf,78.607
large,GOOGLE,double_conversion::ToFixed,5.188
large,MILO,dtoa_milo,34.406
large,RYU,d2fixed_buffered,254.022
large,FPCONV,fpconv_dtoa,39.709
large,Q-TEE,CRT::RealToString,2289.246
